stabbr,year,cpspit_pc,cpspit_level,wcpit_pc,wcpit_level,wcpop_state,wcpit_level_pc2020
WI,2010,1319.5059079218356,7649774348.67554,1323.7335574256106,7528054208.809643,5686986,7423897627.3018265
WI,2020,1319.5059079218356,7649774348.67554,1305.4186571413798,7635044038.966759,5848732.126815211,7635044038.966759
WI,2030,1319.5059079218356,7649774348.67554,1269.6040547096875,7629089765.3672495,6009030.718724151,7844300811.558182
WI,2040,1319.5059079218356,7649774348.67554,1258.4062323370206,7603736016.809987,6042354.06772333,7887801733.060143
WV,2010,1029.8532745515902,1860065629.8815749,1052.9202714364128,1951054945.4500444,1852994,1895300995.6337852
WV,2020,1029.8532745515902,1860065629.8815749,1022.8316959654404,1878065197.1505108,1836142.9397999095,1878065197.150511
WV,2030,1029.8532745515902,1860065629.8815749,996.7222491489167,1811658079.3115242,1817615.7709517034,1859115021.6160624
WV,2040,1029.8532745515902,1860065629.8815749,996.0806062309252,1754087343.5869954,1760989.354289605,1801195727.8251226
WY,2010,0,0,0,0,563626,0
WY,2020,0,0,0,0,607218.6388538044,0
WY,2030,0,0,0,0,653525.1271792232,0
WY,2040,0,0,0,0,688396.3193612937,0
