stabbr,agebrk,popgroup,year,cpspop,cpspop_state,cpspit_pc,cpspit_level,wcpop,wcpop_state,wcpit_pc_share,wcpit_level
UT,"(9,14]",pop10_14,2010,265525.175,3105260.32,0,0,227951,2763885,0,0
VT,"(9,14]",pop10_14,2010,34595.585,618017.615,0,0,37637,625741,0,0
VA,"(9,14]",pop10_14,2010,510940.295,8218287.79,0,0,511246,8001024,0,0
WA,"(9,14]",pop10_14,2010,434632.22,7367703.84,0,0,438233,6724540,0,0
WV,"(9,14]",pop10_14,2010,98354.18,1806146.25,0,0,109045,1852994,0,0
WI,"(9,14]",pop10_14,2010,332726.795,5797453.655,0,0,375927,5686986,0,0
WY,"(9,14]",pop10_14,2010,37591.605,566710.98,0,0,35955,563626,0,0
AL,"(14,19]",pop15_19,2010,309431.685,4826664.225,67.24580258401785,20807982.002749998,343471,4779736,4.832271711101868,23096983.059335195
AK,"(14,19]",pop15_19,2010,49581.87,714741.33,0,0,52141,710231,0,0
AZ,"(14,19]",pop15_19,2010,472399.66,6946384.69,32.76567899913391,15478495.618859999,461582,6392017,2.366083764135519,15124047.64377823
AR,"(14,19]",pop15_19,2010,209484.6,2939165.475,53.07165207473484,11117693.806215,203805,2915918,3.7093869070019574,10816268.051091334
CA,"(14,19]",pop15_19,2010,2591812.74,39251639.415,22.123193305329224,57339174.258235,2823940,37253956,1.6769915791668248,62474570.50265141
CO,"(14,19]",pop15_19,2010,335552.815,5523826.185,61.013706858516436,20473321.089959998,339475,5029196,4.1184770161661755,20712628.135794867
CT,"(14,19]",pop15_19,2010,231870.555,3564204.13,19.12448218075814,4434404.29734,250834,3574097,1.3421768808536219,4797070.363328287
DE,"(14,19]",pop15_19,2010,52442.62,959135.245,44.23827184635321,2319970.879895,64583,897934,3.1817932171551906,2857040.310653029
DC,"(14,19]",pop15_19,2010,25553.265,688986.71,46.290369337734326,1182870.0746349997,39919,601723,3.070956658783222,1847865.2535930166
FL,"(14,19]",pop15_19,2010,1238018.935,20741275.045,0,0,1228382,18801310,0,0
GA,"(14,19]",pop15_19,2010,696341.63,10273789.4,75.63537650879066,52668061.363795,709999,9687653,5.543245787794511,53701041.68586486
HI,"(14,19]",pop15_19,2010,71804.415,1399406.85,136.5857055426188,9807456.68385,85994,1360301,8.634523655008678,11745551.16243196
ID,"(14,19]",pop15_19,2010,117507.09,1706016.625,38.0420656703353,4470212.43451,115359,1567582,2.7995311592402885,4388494.65366421
IL,"(14,19]",pop15_19,2010,852878.1,12615713.62,99.109443850059,84528274.162895,922092,12830632,7.12264409879331,91388025.2985886
IN,"(14,19]",pop15_19,2010,472637.855,6526698.385,139.77574014411096,66063306.00274999,475515,6483802,10.25100104454561,66465461.07462692
IA,"(14,19]",pop15_19,2010,206502.345,3080441.835,77.99448175687786,16106043.379854998,216837,3046355,5.551581953093492,16912089.440716125
KS,"(14,19]",pop15_19,2010,192691.7,2870419.86,27.67820511700815,5333360.396945,203821,2853118,1.9772751933686998,5641399.445153718
KY,"(14,19]",pop15_19,2010,299500.39,4398353.07,49.67862914165153,14878768.802589998,296795,4339367,3.3978155652878552,14744368.736096464
