stabbr,agebrk,wtdn,rtax,popgroup,totpop,share2010,share2020,share2030,share2040,tax2010,tax2020,tax2030,tax2040
ND,"(59,64]",87846.85,417.0467966923116,60to64,1496826.78,0.053335533779072276,0.07230824902813471,0.053443835716974745,0.057721568847810524,33294537.024029076,45138194.06743399,33362144.163693305,36032505.44091394
ND,"(64,69]",70888.58,285.0789847639775,65to69,1496826.78,0.038698109252130936,0.05013115508391475,0.05627704732192629,0.04364219630927318,16513019.52762518,21391658.632456478,24014196.0251684,18622729.994070593
ND,"(69,74]",36412.53,330.5485606424492,70to74,1496826.78,0.030992088802853444,0.03671611797724977,0.05596788184305632,0.0413664875425696,15334077.813298427,18166178.267195627,27691449.281982627,20467059.928603478
ND,"(74,79]",33765.56,168.3128198498707,75to79,1496826.78,0.027309315765450325,0.025448969374133965,0.037067993582986,0.04161239104717754,6880176.186040078,6411489.564623023,9338730.010826444,10483623.40477179
ND,"(79,84]",31504.73,46.578768987704386,80to84,1496826.78,0.02311657456017104,0.01767039491421792,0.023537648855499367,0.03587940181541531,1611695.6414016348,1231986.0968570733,1641053.0881427366,2501524.40931434
ND,"(84,1e+09]",34307.93,108.37752962274318,85+,1496826.78,0.024811512494220114,0.020951026795246217,0.020060410087070737,0.0252565040793406,4024982.823813381,3398725.6122239297,3254247.6424168656,4097170.421698382
NE,"(-1,4]",251839.69,0,00to04,3740869.15,0.07222528542041164,0.06661674039624021,0.06566689975236882,0.06538773054822612,0,0,0,0
NE,"(4,9]",263217.43,0,05to09,3740869.15,0.07059360765596348,0.06566206476911719,0.06663004022907745,0.06534471680040069,0,0,0,0
NE,"(9,14]",266272.61,0,10to14,3740869.15,0.0671867958940855,0.07217381649879079,0.06737513337156169,0.0673949016990316,0,0,0,0
NE,"(14,19]",261318.95,33.03424301658949,15to19,3740869.15,0.07059470274171144,0.07005938804030659,0.06595403233042316,0.06791429003072166,8723866.09183672,8657713.624432277,8150386.982610198,8392629.318348397
NE,"(19,24]",262465.26,337.4666735107343,20to24,3740869.15,0.0707841525761071,0.0640268289625508,0.06961191625046373,0.06594286740151002,89359235.61696799,80828664.140893,87879382.59606324,83247506.83501205
NE,"(24,29]",246936.1,1084.3070505753512,25to29,3740869.15,0.07067464400131192,0.06468039530418983,0.06496699005177412,0.062062895205355344,286674080.8901478,262359904.84926754,263522405.0218916,251742667.9934396
